Time(s),Amplitude(mm)
0.0010000000474974513,0.0009999999310821295
0.0020000000949949026,0.0019999986980110407
0.003000000026077032,0.0029999956022948027
0.004000000189989805,0.003999989479780197
0.005000000353902578,0.0049999793991446495
0.0060000005178153515,0.005999964661896229
0.007000000681728125,0.006999943405389786
0.00800000037997961,0.007999914698302746
0.009000000543892384,0.008999879471957684
0.010000000707805157,0.0099998340010643
0.01100000087171793,0.010999779216945171
0.012000001035630703,0.011999713256955147
0.013000001199543476,0.012999635189771652
0.01400000136345625,0.013999544084072113
0.015000001527369022,0.014999439008533955
0.01600000075995922,0.015999319031834602
0.017000000923871994,0.016999181360006332
0.018000001087784767,0.01799902878701687
0.01900000125169754,0.018998857587575912
0.020000001415610313,0.019998667761683464
0.021000001579523087,0.020998457446694374
0.02200000174343586,0.021998226642608643
0.023000001907348633,0.02299797348678112
0.024000002071261406,0.023997697979211807
0.02500000223517418,0.024997398257255554
0.026000002399086952,0.025997072458267212
0.027000002562999725,0.02699672244489193
0.0280000027269125,0.02799634449183941
0.02900000289082527,0.02899593859910965
0.030000003054738045,0.029995502904057503
0.031000003218650818,0.030995037406682968
0.03200000151991844,0.0319945402443409
0.032999999821186066,0.03299400955438614
0.03399999812245369,0.033993449062108994
0.034999996423721313,0.034992851316928864
0.03599999472498894,0.03599222004413605
0.03699999302625656,0.03699155151844025
0.037999991327524185,0.03799084573984146
0.03899998962879181,0.03899010270833969
0.03999998793005943,0.039989322423934937
0.04099998623132706,0.0409885011613369
0.04199998453259468,0.04198763892054558
0.042999982833862305,0.042986731976270676
0.04399998113512993,0.04398578405380249
0.04499997943639755,0.04498479515314102
0.045999977737665176,0.04598375782370567
0.0469999760389328,0.04698267579078674
0.047999974340200424,0.04798154532909393
0.04899997264146805,0.04898036643862724
0.04999997094273567,0.04997913911938667
0.050999969244003296,0.05097786337137222
0.05199996754527092,0.051976535469293594
0.052999965846538544,0.05297515541315079
0.05399996414780617,0.0539737232029438
0.05499996244907379,0.05497223883867264
0.055999960750341415,0.0559706948697567
0.05699995905160904,0.05696909874677658
0.05799995735287666,0.05796744301915169
0.05899995565414429,0.05896573141217232
0.05999995395541191,0.05996396020054817
0.060999952256679535,0.06096212938427925
0.06199995055794716,0.061960235238075256
0.06299994885921478,0.06295828521251678
0.0639999508857727,0.06395626813173294
0.06499995291233063,0.06495419144630432
0.06599995493888855,0.06595204770565033
0.06699995696544647,0.06694984436035156
0.0679999589920044,0.06794756650924683
0.06899996101856232,0.06894522160291672
0.06999996304512024,0.06994280964136124
0.07099996507167816,0.07094033062458038
0.07199996709823608,0.07193777710199356
0.072999969124794,0.07293514907360077
0.07399997115135193,0.0739324539899826
0.07499997317790985,0.07492967694997787
0.07599997520446777,0.07592683285474777
0.0769999772310257,0.0769239142537117
0.07799997925758362,0.07792091369628906
0.07899998128414154,0.07891783118247986
0.07999998331069946,0.07991467416286469
0.08099998533725739,0.08091144263744354
0.08199998736381531,0.08190812170505524
0.08299998939037323,0.08290472626686096
0.08399999141693115,0.08390124142169952
0.08499999344348907,0.08489767462015152
0.085999995470047,0.08589402586221695
0.08699999749660492,0.08689028769731522
0.08799999952316284,0.08788646757602692
0.08900000154972076,0.08888255059719086
0.09000000357627869,0.08987855166196823
0.09100000560283661,0.09087446331977844
0.09200000762939453,0.0918702781200409
0.09300000965595245,0.09286601096391678
0.09400001168251038,0.0938616394996643
0.0950000137090683,0.09485717862844467
0.09600001573562622,0.09585262835025787
0.09700001776218414,0.09684797376394272
0.09800001978874207,0.0978432297706604
0.09900002181529999,0.09883838146924973
0.10000002384185791,0.09983344376087189
